"name","handedness","height","weight","avg","HR","BMI","rand","adj_BMI","power","log10HR","lm","range"
"Gary Woods","R",74,185,0.243,13,23.75,-0.36,23.39,53.49794239,1.113943352,1.37331,"healthy"
"Rusty Staub","L",74,190,0.279,292,24.39189189,-0.01,24.38,1046.594982,2.465382851,1.422966757,"healthy"
"Oscar Gamble","L",71,160,0.265,200,22.31303313,-0.2,22.11,754.7169811,2.301029996,1.262146243,"healthy"
"Craig Reynolds","L",73,175,0.256,42,23.08594483,0.39,23.48,164.0625,1.62324929,1.321938692,"healthy"
"Paul Blair","R",72,168,0.25,134,22.78240741,0.48,23.26,536,2.127104798,1.298457037,"healthy"
"Luis Alvarado","R",69,162,0.214,5,23.92060491,0.14,24.06,23.36448598,0.698970004,1.386507996,"healthy"
"Larry Parrish","R",75,190,0.263,256,23.74577778,0.16,23.91,973.3840304,2.408239965,1.372983369,"healthy"
"Woodie Fryman","R",75,197,0.138,2,24.62062222,-0.22,24.4,14.49275362,0.301029996,1.440661335,"healthy"
"Bob Randall","R",74,175,0.257,1,22.46621622,0.07,22.54,3.891050584,0,1.273996487,"healthy"
"Jim Pankovits","R",70,170,0.25,9,24.38979592,0.35,24.74,36,0.954242509,1.422804612,"healthy"
"Mike Vail","R",73,180,0.279,34,23.74554325,0.15,23.89,121.8637993,1.531478917,1.372965226,"healthy"
"Nick Esasky","R",75,200,0.25,122,24.99555556,-0.49,24.51,488,2.086359831,1.469666178,"healthy"
"Mel Stottlemyre","R",73,178,0.16,7,23.48170388,0.03,23.51,43.75,0.84509804,1.352554612,"healthy"
"Roy Smalley","B",73,185,0.257,163,24.40514168,-0.38,24.03,634.2412451,2.212187604,1.42399176,"healthy"
"John Vukovich","R",73,187,0.161,6,24.66898105,0.45,25.12,37.26708075,0.77815125,1.444402374,"healthy"
"Danny Thompson","R",72,183,0.248,15,24.81655093,-0.41,24.41,60.48387097,1.176091259,1.45581838,"healthy"
"Joe Simpson","L",75,175,0.242,9,21.87111111,0.02,21.89,37.19008264,0.954242509,1.227959155,"healthy"
"Bernie Allen","L",72,175,0.239,73,23.73167438,0.04,23.77,305.4393305,1.86332286,1.37189233,"healthy"
"John Donaldson","L",71,160,0.238,4,22.31303313,0.16,22.47,16.80672269,0.602059991,1.262146243,"healthy"
"Ken Reitz","R",72,180,0.26,68,24.40972222,-0.42,23.99,261.5384615,1.832508913,1.424346111,"healthy"
"Amos Otis","R",71,165,0.277,193,23.01031541,0.42,23.43,696.7509025,2.285557309,1.316088,"healthy"
"Gene Alley","R",70,160,0.254,55,22.95510204,-0.48,22.48,216.5354331,1.740362689,1.311816694,"healthy"
"Ted Sizemore","R",70,165,0.262,23,23.67244898,0.35,24.02,87.78625954,1.361727836,1.367310653,"healthy"
"Dan Briggs","L",72,180,0.195,12,24.40972222,0.46,24.87,61.53846154,1.079181246,1.424346111,"healthy"
"Doug Flynn","R",71,165,0.238,7,23.01031541,0.39,23.4,29.41176471,0.84509804,1.316088,"healthy"
"Ken Holtzman","R",74,175,0.163,2,22.46621622,0.22,22.68,12.26993865,0.301029996,1.273996487,"healthy"
"Pete Ward","L",73,185,0.254,98,24.40514168,0.42,24.82,385.8267717,1.991226076,1.42399176,"healthy"
"Mike Davis","L",74,175,0.259,91,22.46621622,0.32,22.78,351.3513514,1.959041392,1.273996487,"healthy"
"Jerry Reuss","L",77,200,0.167,1,23.71394839,0.42,24.13,5.988023952,0,1.370521047,"healthy"
"Bud Harrelson","B",71,160,0.236,7,22.31303313,0.05,22.37,29.66101695,0.84509804,1.262146243,"healthy"
"Bob Knepper","L",75,195,0.137,6,24.37066667,0.11,24.48,43.79562044,0.77815125,1.421324774,"healthy"
"Mickey Rivers","L",70,165,0.295,61,23.67244898,0.31,23.98,206.779661,1.785329835,1.367310653,"healthy"
"Jim Northrup","L",75,190,0.267,153,23.74577778,0.3,24.05,573.0337079,2.184691431,1.372983369,"healthy"
"Carl Yastrzemski","L",71,175,0.285,452,24.40487998,0.07,24.47,1585.964912,2.655138435,1.423971515,"healthy"
"Derrel Thomas","B",72,160,0.249,43,21.69753086,-0.42,21.28,172.6907631,1.633468456,1.214530987,"healthy"
"Art Howe","R",74,190,0.26,43,24.39189189,-0.05,24.34,165.3846154,1.633468456,1.422966757,"healthy"
"Howie Goss","R",76,204,0.216,11,24.82894737,0.43,25.26,50.92592593,1.041392685,1.456777369,"healthy"
"Julio Gonzalez","R",71,162,0.235,4,22.59194604,-0.04,22.55,17.0212766,0.602059991,1.283722946,"healthy"
"Bobby Klaus","R",70,170,0.208,6,24.38979592,0.28,24.67,28.84615385,0.77815125,1.422804612,"healthy"
"Johnny Ray","B",71,170,0.29,53,23.7075977,-0.24,23.46,182.7586207,1.72427587,1.370029758,"healthy"
"Jesus Alou","R",74,190,0.28,32,24.39189189,0.34,24.74,114.2857143,1.505149978,1.422966757,"healthy"
"Ken Landreaux","L",70,165,0.268,91,23.67244898,-0.35,23.32,339.5522388,1.959041392,1.367310653,"healthy"
"Enos Cabell","R",76,170,0.277,60,20.69078947,0.25,20.95,216.6064982,1.77815125,1.136649473,"healthy"
"Juan Beniquez","R",71,150,0.274,79,20.91846856,0.34,21.26,288.3211679,1.897627091,1.154262728,"healthy"
"Roger Metzger","B",72,165,0.231,5,22.3755787,0.02,22.39,21.64502165,0.698970004,1.266984768,"healthy"
"Rufino Linares","R",72,170,0.27,11,23.05362654,-0.19,22.86,40.74074074,1.041392685,1.319438549,"healthy"
"Fergie Jenkins","R",77,205,0.165,13,24.3067971,-0.03,24.27,78.78787879,1.113943352,1.416383824,"healthy"
"Ted Cox","R",75,195,0.245,10,24.37066667,0.39,24.76,40.81632653,1,1.421324774,"healthy"
"Bobby Mitchell","L",70,170,0.243,3,24.38979592,0.2,24.59,12.34567901,0.477121255,1.422804612,"healthy"
"Bobby Mitchell","R",75,185,0.235,21,23.12088889,0.07,23.19,89.36170213,1.322219295,1.324641965,"healthy"
"Barry Evans","R",73,180,0.251,2,23.74554325,0.37,24.11,7.96812749,0.301029996,1.372965226,"healthy"
"Al Gallagher","R",72,180,0.263,11,24.40972222,-0.28,24.13,41.82509506,1.041392685,1.424346111,"healthy"
"Hector Cruz","R",71,170,0.225,39,23.7075977,0.11,23.81,173.3333333,1.591064607,1.370029758,"healthy"
"Woody Woodward","R",74,180,0.236,1,23.10810811,-0.04,23.07,4.237288136,0,1.323653243,"healthy"
